### M1
# processors		time
1					61460
2					30730
4					15369
16					3863
32					1968
64					1104
96					857
128					750
160					753
192					835
224					857
256					850
288					1018
320					1149
352					1219
384					1203
416					1291
448					1352
480					1124
512					1431



### M2
# processors*subprocessors	time
1							61462
2							30731
4							15369
16							3862
32							1966
64							1079
96							858
128							823
160							745
192							879
224							872
256							964
288							1076
320							1114
352							1164
384							1236
416							1234
448							1305
480							1101
512							1461



### Expected  =>  k*m*(t+u)/p = 61440/p
# processors		time
1					61440
2					30720
4					15368
16					3840
32					1966
64					960
96					640
128					480
160					384
192					320
224					274
256					240
288					213
320					192
352					174
384					160
416					147
448					137
480					128
512					120
