### M1
# processors		time
1					0.999674585
2					0.999674585
4					0.999414406
16					0.994046078
32					0.975609756
64					0.869565217
96					0.746791132
128					0.64
160					0.509960159
192					0.383233533
224					0.320053342
256					0.282352941
288					0.209561231
320					0.167101828
352					0.143187411
384					0.133000831
416					0.114401478
448					0.101437025
480					0.113879004
512					0.083857442



### M2
# processors*subprocessors	time
1							0.999642055
2							0.999642056
4							0.999414406
16							0.99430347
32							0.976602238
64							0.889712697
96							0.745920746
128							0.583232078
160							0.515436242
192							0.364050057
224							0.314547837
256							0.248962656
288							0.19826518
320							0.172351885
352							0.14995314
384							0.129449838
416							0.119685825
448							0.105090312
480							0.116257947
512							0.082135524
