### M1
# processors				time
1							1
2							2	
4							3.998958943
16							15.909914574
32							31.229674797
64							55.670289855
96							71.715285881
128							81.946666667
160							81.620185923
192							73.604790419
224							71.715285881
256							72.305882353
288							60.373280943
320							53.489991297
352							50.418375718
384							51.088944306
416							47.606506584
448							45.458579882
480							54.679715302
512							42.948986723



### M2
# processors*subprocessors	time
1							1
2							2
4							3.999089075
16							15.914552046
32							31.262461851
64							56.962001854
96							71.634032634
128							74.680437424
160							82.499328859
192							69.922639363
224							70.483944954
256							63.757261411
288							57.120817844
320							55.172351885
352							52.802405498
384							49.726537217
416							49.80713128
448							47.097318008
480							55.823796549
512							42.06844627



### Expected  =>  T_par(1)/T_par(n)
# processors		time
1					1
2					2
4					4
16					16
32					32
64					64
96					96
128					128
160					160
192					192
224					224
256					256
288					288
320					320
352					352
384					384
416					416
448					448
480					480
512					512
