### M1
# processors		time
1					0.999674585
2					1.99934917
4					3.997657622
16					15.904737251
32					31.219512195
64					55.652173913
96					71.691948658
128					81.92
160					81.593625498
192					73.580838323
224					71.691948658
256					72.282352941
288					60.353634578
320					53.472584856
352					50.401968827
384					51.072319202
416					47.591014717
448					45.443786982
480					54.661921708
512					42.935010482



### M2
# processors*subprocessors	time
1							0.999642055
2							1.999284111
4							3.997657622
16							15.908855515
32							31.251271617
64							56.941612604
96							71.608391608
128							74.653705954
160							82.469798658
192							69.897610922
224							70.458715596
256							63.734439834
288							57.100371747
320							55.152603232
352							52.783505155
384							49.708737864
416							49.789303079
448							47.08045977
480							55.803814714
512							42.05338809



### Expected  =>  T_seq/T_par(n)
# processors		time
1					1
2					2
4					4
16					16
32					32
64					64
96					96
128					128
160					160
192					192
224					224
256					256
288					288
320					320
352					352
384					384
416					416
448					448
480					480
512					512
